Brand,Model,Processor,RAM,Storage,GraphicsCard,ScreenSize,Price
"ASUS,ROG Strix G15 V33.4,AMD Ryzen 7 6800H,64 GB,256 GB SSD,NVIDIA GeForce RTX 3050,""15.6"""" FHD"",1199.88"
"MSI,Katana GF66 V39.5,Intel Core i7-11800H,64 GB,2 TB SSD,NVIDIA GeForce RTX 4050,""17.3"""" FHD"",632.62"
"MSI,Katana GF66 V22.4,Intel Core i7-11800H,64 GB,256 GB SSD,NVIDIA GeForce RTX 3060,""14"""" FHD"",574.75"
"ASUS,ROG Strix G15 V19.0,AMD Ryzen 7 6800H,64 GB,2 TB SSD,NVIDIA GeForce GTX 1650,""14"""" FHD"",1280.94"
"ASUS,ROG Strix G15 V41.4,AMD Ryzen 7 6800H,32 GB,1 TB SSD,NVIDIA GeForce RTX 3050,""16"""" QHD"",661.84"
"MSI,Katana GF66 V45.2,Intel Core i7-11800H,16 GB,2 TB SSD,NVIDIA GeForce RTX 3050,""16"""" QHD"",1184.12"
"Acer,Nitro 5 V25.1,Intel Core i5-11400H,16 GB,2 TB SSD,AMD Radeon RX 7600M XT,""16"""" QHD"",1158.97"
"Acer,Nitro 5 V33.6,Intel Core i5-11400H,16 GB,512 GB SSD,NVIDIA GeForce RTX 3050,""17.3"""" FHD"",736.84"
"Lenovo,Legion 5 V44.9,AMD Ryzen 7 5800H,32 GB,512 GB SSD,NVIDIA GeForce RTX 3060,""16"""" QHD"",917.31"
"MSI,Katana GF66 V15.2,Intel Core i7-11800H,64 GB,2 TB SSD,NVIDIA GeForce RTX 4050,""17.3"""" FHD"",927.94"
"ASUS,ROG Strix G15 V9.1,AMD Ryzen 7 6800H,8 GB,2 TB SSD,AMD Radeon RX 6600M,""14"""" FHD"",1204.41"
"HP,Victus 15 V15.9,AMD Ryzen 5 5600H,64 GB,512 GB SSD,NVIDIA GeForce RTX 3060,""17.3"""" FHD"",1129.59"
"ASUS,ROG Strix G15 V29.3,AMD Ryzen 7 6800H,16 GB,1 TB SSD,NVIDIA GeForce RTX 3060,""16"""" QHD"",576.72"
"ASUS,ROG Strix G15 V37.4,AMD Ryzen 7 6800H,32 GB,256 GB SSD,AMD Radeon RX 7600M XT,""16"""" QHD"",768.66"
"Acer,Nitro 5 V21.4,Intel Core i5-11400H,32 GB,1 TB SSD,NVIDIA GeForce RTX 3060,""17.3"""" FHD"",1285.31"
"MSI,Katana GF66 V38.0,Intel Core i7-11800H,16 GB,256 GB SSD,NVIDIA GeForce RTX 3060,""15.6"""" FHD"",1259.78"
"Lenovo,Legion 5 V28.3,AMD Ryzen 7 5800H,8 GB,1 TB SSD,AMD Radeon RX 7600M XT,""17.3"""" FHD"",678.34"
"ASUS,ROG Strix G15 V16.2,AMD Ryzen 7 6800H,64 GB,512 GB SSD,NVIDIA GeForce RTX 4050,""16"""" QHD"",1285.5"
"ASUS,ROG Strix G15 V18.6,AMD Ryzen 7 6800H,8 GB,512 GB SSD,NVIDIA GeForce RTX 4050,""17.3"""" FHD"",723.88"
"Lenovo,Legion 5 V17.4,AMD Ryzen 7 5800H,8 GB,256 GB SSD,AMD Radeon RX 6600M,""14"""" FHD"",648.38"
"ASUS,ROG Strix G15 V48.9,AMD Ryzen 7 6800H,16 GB,256 GB SSD,NVIDIA GeForce RTX 4050,""16"""" QHD"",884.59"
"HP,Victus 15 V12.8,AMD Ryzen 5 5600H,32 GB,2 TB SSD,NVIDIA GeForce RTX 3050,""15.6"""" FHD"",717.03"
"HP,Victus 15 V42.9,AMD Ryzen 5 5600H,64 GB,2 TB SSD,NVIDIA GeForce RTX 4050,""15.6"""" FHD"",807.91"
"MSI,Katana GF66 V32.9,Intel Core i7-11800H,8 GB,1 TB SSD,NVIDIA GeForce RTX 3060,""15.6"""" FHD"",775.84"
"Acer,Nitro 5 V16.6,Intel Core i5-11400H,32 GB,1 TB SSD,NVIDIA GeForce RTX 3060,""16"""" QHD"",1074.47"
"ASUS,ROG Strix G15 V26.4,AMD Ryzen 7 6800H,16 GB,512 GB SSD,AMD Radeon RX 7600M XT,""17.3"""" FHD"",1170.59"
"MSI,Katana GF66 V2.5,Intel Core i7-11800H,16 GB,512 GB SSD,AMD Radeon RX 7600M XT,""17.3"""" FHD"",639.25"
"Acer,Nitro 5 V28.0,Intel Core i5-11400H,8 GB,1 TB SSD,NVIDIA GeForce RTX 3060,""16"""" QHD"",681.94"
"ASUS,ROG Strix G15 V15.8,AMD Ryzen 7 6800H,8 GB,2 TB SSD,NVIDIA GeForce RTX 3050,""15.6"""" FHD"",926.47"
"ASUS,ROG Strix G15 V21.8,AMD Ryzen 7 6800H,64 GB,256 GB SSD,NVIDIA GeForce GTX 1650,""15.6"""" FHD"",600.34"
"HP,Victus 15 V35.7,AMD Ryzen 5 5600H,16 GB,256 GB SSD,NVIDIA GeForce RTX 4050,""15.6"""" FHD"",705.12"
"Acer,Nitro 5 V20.9,Intel Core i5-11400H,8 GB,256 GB SSD,AMD Radeon RX 7600M XT,""14"""" FHD"",1196.97"
"Acer,Nitro 5 V8.9,Intel Core i5-11400H,64 GB,1 TB SSD,NVIDIA GeForce RTX 3050,""16"""" QHD"",1396.78"
"HP,Victus 15 V41.3,AMD Ryzen 5 5600H,16 GB,1 TB SSD,NVIDIA GeForce RTX 4050,""15.6"""" FHD"",1377.94"
"ASUS,ROG Strix G15 V34.7,AMD Ryzen 7 6800H,64 GB,512 GB SSD,AMD Radeon RX 6600M,""14"""" FHD"",913.72"
"HP,Victus 15 V23.1,AMD Ryzen 5 5600H,32 GB,512 GB SSD,AMD Radeon RX 6600M,""14"""" FHD"",1315.12"
"HP,Victus 15 V31.7,AMD Ryzen 5 5600H,16 GB,1 TB SSD,NVIDIA GeForce RTX 3060,""15.6"""" FHD"",1181.56"
"HP,Victus 15 V28.3,AMD Ryzen 5 5600H,64 GB,2 TB SSD,NVIDIA GeForce GTX 1650,""17.3"""" FHD"",864.56"
"HP,Victus 15 V2.4,AMD Ryzen 5 5600H,32 GB,256 GB SSD,AMD Radeon RX 7600M XT,""14"""" FHD"",1058.06"
"ASUS,ROG Strix G15 V25.8,AMD Ryzen 7 6800H,16 GB,1 TB SSD,AMD Radeon RX 7600M XT,""15.6"""" FHD"",952.62"
"ASUS,ROG Strix G15 V45.0,AMD Ryzen 7 6800H,64 GB,256 GB SSD,NVIDIA GeForce RTX 3060,""14"""" FHD"",638.0"
"ASUS,ROG Strix G15 V37.8,AMD Ryzen 7 6800H,16 GB,1 TB SSD,NVIDIA GeForce GTX 1650,""14"""" FHD"",570.06"
"Lenovo,Legion 5 V6.0,AMD Ryzen 7 5800H,64 GB,2 TB SSD,NVIDIA GeForce RTX 3060,""14"""" FHD"",1323.97"
"Lenovo,Legion 5 V19.6,AMD Ryzen 7 5800H,16 GB,1 TB SSD,AMD Radeon RX 7600M XT,""15.6"""" FHD"",708.38"
"Lenovo,Legion 5 V5.4,AMD Ryzen 7 5800H,8 GB,512 GB SSD,AMD Radeon RX 6600M,""17.3"""" FHD"",1046.03"
"HP,Victus 15 V42.2,AMD Ryzen 5 5600H,32 GB,2 TB SSD,NVIDIA GeForce GTX 1650,""16"""" QHD"",1158.09"
"ASUS,ROG Strix G15 V1.6,AMD Ryzen 7 6800H,8 GB,2 TB SSD,NVIDIA GeForce RTX 4050,""14"""" FHD"",839.0"
"Acer,Nitro 5 V41.9,Intel Core i5-11400H,8 GB,2 TB SSD,NVIDIA GeForce RTX 3050,""17.3"""" FHD"",1062.28"
"MSI,Katana GF66 V49.9,Intel Core i7-11800H,64 GB,1 TB SSD,NVIDIA GeForce RTX 4050,""14"""" FHD"",653.91"
"MSI,Katana GF66 V30.3,Intel Core i7-11800H,32 GB,512 GB SSD,NVIDIA GeForce RTX 3050,""15.6"""" FHD"",716.31"
"HP,Victus 15 V31.4,AMD Ryzen 5 5600H,32 GB,1 TB SSD,NVIDIA GeForce RTX 4050,""16"""" QHD"",1054.66"
"MSI,Katana GF66 V20.2,Intel Core i7-11800H,8 GB,2 TB SSD,NVIDIA GeForce RTX 3060,""16"""" QHD"",1356.53"
"ASUS,ROG Strix G15 V27.4,AMD Ryzen 7 6800H,32 GB,512 GB SSD,NVIDIA GeForce GTX 1650,""15.6"""" FHD"",841.41"
"MSI,Katana GF66 V31.8,Intel Core i7-11800H,64 GB,1 TB SSD,NVIDIA GeForce RTX 3050,""14"""" FHD"",804.78"
"Acer,Nitro 5 V6.1,Intel Core i5-11400H,32 GB,512 GB SSD,NVIDIA GeForce RTX 3050,""14"""" FHD"",1069.53"
"MSI,Katana GF66 V16.7,Intel Core i7-11800H,64 GB,2 TB SSD,AMD Radeon RX 7600M XT,""16"""" QHD"",1124.81"
"MSI,Katana GF66 V21.4,Intel Core i7-11800H,8 GB,2 TB SSD,NVIDIA GeForce RTX 3060,""15.6"""" FHD"",1192.72"
"ASUS,ROG Strix G15 V10.2,AMD Ryzen 7 6800H,64 GB,512 GB SSD,NVIDIA GeForce RTX 4050,""14"""" FHD"",886.06"
"ASUS,ROG Strix G15 V26.2,AMD Ryzen 7 6800H,32 GB,1 TB SSD,NVIDIA GeForce RTX 3050,""14"""" FHD"",1169.78"
"Acer,Nitro 5 V13.3,Intel Core i5-11400H,32 GB,1 TB SSD,AMD Radeon RX 6600M,""15.6"""" FHD"",764.72"
"HP,Victus 15 V11.9,AMD Ryzen 5 5600H,32 GB,512 GB SSD,AMD Radeon RX 6600M,""16"""" QHD"",857.41"
"MSI,Katana GF66 V37.2,Intel Core i7-11800H,32 GB,256 GB SSD,NVIDIA GeForce RTX 3050,""15.6"""" FHD"",610.66"
"Acer,Nitro 5 V19.4,Intel Core i5-11400H,64 GB,512 GB SSD,NVIDIA GeForce GTX 1650,""14"""" FHD"",1386.53"
"Lenovo,Legion 5 V20.7,AMD Ryzen 7 5800H,16 GB,512 GB SSD,NVIDIA GeForce RTX 4050,""17.3"""" FHD"",918.34"
"Acer,Nitro 5 V10.9,Intel Core i5-11400H,32 GB,512 GB SSD,NVIDIA GeForce RTX 4050,""17.3"""" FHD"",726.0"
"HP,Victus 15 V10.0,AMD Ryzen 5 5600H,64 GB,2 TB SSD,NVIDIA GeForce RTX 3050,""16"""" QHD"",1121.19"
"ASUS,ROG Strix G15 V15.3,AMD Ryzen 7 6800H,64 GB,2 TB SSD,NVIDIA GeForce RTX 3060,""17.3"""" FHD"",1253.31"
"Acer,Nitro 5 V16.1,Intel Core i5-11400H,32 GB,1 TB SSD,AMD Radeon RX 6600M,""17.3"""" FHD"",1182.38"
"HP,Victus 15 V31.1,AMD Ryzen 5 5600H,32 GB,1 TB SSD,NVIDIA GeForce RTX 3060,""15.6"""" FHD"",710.5"
"MSI,Katana GF66 V30.8,Intel Core i7-11800H,16 GB,512 GB SSD,AMD Radeon RX 7600M XT,""14"""" FHD"",1292.78"
"ASUS,ROG Strix G15 V8.9,AMD Ryzen 7 6800H,64 GB,256 GB SSD,AMD Radeon RX 7600M XT,""16"""" QHD"",847.75"
"Lenovo,Legion 5 V14.3,AMD Ryzen 7 5800H,8 GB,2 TB SSD,AMD Radeon RX 6600M,""17.3"""" FHD"",734.94"
"Lenovo,Legion 5 V28.9,AMD Ryzen 7 5800H,8 GB,512 GB SSD,NVIDIA GeForce RTX 4050,""15.6"""" FHD"",636.78"
"Acer,Nitro 5 V46.0,Intel Core i5-11400H,64 GB,512 GB SSD,AMD Radeon RX 7600M XT,""14"""" FHD"",749.59"
"HP,Victus 15 V17.2,AMD Ryzen 5 5600H,64 GB,1 TB SSD,NVIDIA GeForce RTX 3050,""17.3"""" FHD"",1025.84"
"Acer,Nitro 5 V33.4,Intel Core i5-11400H,32 GB,512 GB SSD,NVIDIA GeForce RTX 3050,""14"""" FHD"",1395.34"
"ASUS,ROG Strix G15 V12.6,AMD Ryzen 7 6800H,8 GB,512 GB SSD,NVIDIA GeForce RTX 3050,""17.3"""" FHD"",1376.31"
"ASUS,ROG Strix G15 V19.0,AMD Ryzen 7 6800H,16 GB,256 GB SSD,AMD Radeon RX 6600M,""16"""" QHD"",570.94"
"Lenovo,Legion 5 V47.0,AMD Ryzen 7 5800H,16 GB,2 TB SSD,NVIDIA GeForce RTX 3060,""16"""" QHD"",588.91"
"MSI,Katana GF66 V18.4,Intel Core i7-11800H,8 GB,1 TB SSD,NVIDIA GeForce GTX 1650,""15.6"""" FHD"",1287.38"
"Lenovo,Legion 5 V20.6,AMD Ryzen 7 5800H,16 GB,1 TB SSD,NVIDIA GeForce RTX 4050,""17.3"""" FHD"",1075.5"
"Lenovo,Legion 5 V47.8,AMD Ryzen 7 5800H,64 GB,2 TB SSD,NVIDIA GeForce RTX 4050,""16"""" QHD"",701.16"
"Acer,Nitro 5 V33.7,Intel Core i5-11400H,64 GB,2 TB SSD,NVIDIA GeForce GTX 1650,""16"""" QHD"",641.44"
"ASUS,ROG Strix G15 V37.1,AMD Ryzen 7 6800H,16 GB,1 TB SSD,NVIDIA GeForce RTX 3050,""17.3"""" FHD"",790.5"
"ASUS,ROG Strix G15 V39.0,AMD Ryzen 7 6800H,64 GB,1 TB SSD,NVIDIA GeForce RTX 4050,""16"""" QHD"",610.53"
"Lenovo,Legion 5 V27.6,AMD Ryzen 7 5800H,64 GB,256 GB SSD,AMD Radeon RX 6600M,""14"""" FHD"",800.47"
"MSI,Katana GF66 V12.6,Intel Core i7-11800H,64 GB,256 GB SSD,AMD Radeon RX 6600M,""15.6"""" FHD"",1148.28"
"HP,Victus 15 V15.8,AMD Ryzen 5 5600H,8 GB,512 GB SSD,NVIDIA GeForce RTX 3060,""14"""" FHD"",570.81"
"ASUS,ROG Strix G15 V10.9,AMD Ryzen 7 6800H,64 GB,256 GB SSD,NVIDIA GeForce GTX 1650,""16"""" QHD"",1274.88"
"ASUS,ROG Strix G15 V38.9,AMD Ryzen 7 6800H,32 GB,2 TB SSD,AMD Radeon RX 6600M,""16"""" QHD"",1192.06"
"Acer,Nitro 5 V7.1,Intel Core i5-11400H,16 GB,256 GB SSD,NVIDIA GeForce GTX 1650,""14"""" FHD"",1307.06"
"MSI,Katana GF66 V41.4,Intel Core i7-11800H,32 GB,2 TB SSD,AMD Radeon RX 7600M XT,""17.3"""" FHD"",736.41"
"Acer,Nitro 5 V10.6,Intel Core i5-11400H,16 GB,512 GB SSD,NVIDIA GeForce GTX 1650,""17.3"""" FHD"",1399.53"
"Lenovo,Legion 5 V11.3,AMD Ryzen 7 5800H,8 GB,512 GB SSD,NVIDIA GeForce RTX 3060,""16"""" QHD"",1024.75"
"Acer,Nitro 5 V2.2,Intel Core i5-11400H,16 GB,1 TB SSD,NVIDIA GeForce RTX 3060,""15.6"""" FHD"",849.69"
"Lenovo,Legion 5 V24.7,AMD Ryzen 7 5800H,8 GB,256 GB SSD,AMD Radeon RX 7600M XT,""14"""" FHD"",1308.44"
"ASUS,ROG Strix G15 V13.9,AMD Ryzen 7 6800H,8 GB,256 GB SSD,AMD Radeon RX 6600M,""14"""" FHD"",812.09"
"Acer,Nitro 5 V36.0,Intel Core i5-11400H,32 GB,1 TB SSD,AMD Radeon RX 6600M,""16"""" QHD"",975.62"
"Acer,Nitro 5 V22.0,Intel Core i5-11400H,32 GB,512 GB SSD,NVIDIA GeForce RTX 4050,""17.3"""" FHD"",708.78"
"MSI,Katana GF66 V36.2,Intel Core i7-11800H,16 GB,2 TB SSD,NVIDIA GeForce RTX 4050,""16"""" QHD"",744.22"
"ASUS,ROG Strix G15 V34.9,AMD Ryzen 7 6800H,64 GB,2 TB SSD,AMD Radeon RX 7600M XT,""14"""" FHD"",649.47"
"Acer,Nitro 5 V5.2,Intel Core i5-11400H,16 GB,256 GB SSD,NVIDIA GeForce RTX 3050,""14"""" FHD"",961.66"
"HP,Victus 15 V26.8,AMD Ryzen 5 5600H,16 GB,2 TB SSD,NVIDIA GeForce GTX 1650,""17.3"""" FHD"",802.91"
"Acer,Nitro 5 V10.7,Intel Core i5-11400H,8 GB,512 GB SSD,NVIDIA GeForce RTX 3050,""16"""" QHD"",762.09"
"HP,Victus 15 V32.1,AMD Ryzen 5 5600H,16 GB,512 GB SSD,NVIDIA GeForce RTX 3060,""16"""" QHD"",1283.09"
"ASUS,ROG Strix G15 V33.5,AMD Ryzen 7 6800H,32 GB,256 GB SSD,AMD Radeon RX 7600M XT,""15.6"""" FHD"",885.81"
"MSI,Katana GF66 V19.4,Intel Core i7-11800H,8 GB,2 TB SSD,AMD Radeon RX 7600M XT,""16"""" QHD"",1219.75"
"ASUS,ROG Strix G15 V29.2,AMD Ryzen 7 6800H,16 GB,512 GB SSD,NVIDIA GeForce GTX 1650,""17.3"""" FHD"",576.53"
"Lenovo,Legion 5 V7.3,AMD Ryzen 7 5800H,8 GB,1 TB SSD,AMD Radeon RX 6600M,""17.3"""" FHD"",1137.25"
"ASUS,ROG Strix G15 V18.2,AMD Ryzen 7 6800H,8 GB,2 TB SSD,NVIDIA GeForce GTX 1650,""16"""" QHD"",599.0"
"ASUS,ROG Strix G15 V41.4,AMD Ryzen 7 6800H,64 GB,1 TB SSD,AMD Radeon RX 6600M,""14"""" FHD"",946.66"
"HP,Victus 15 V32.0,AMD Ryzen 5 5600H,64 GB,1 TB SSD,NVIDIA GeForce RTX 4050,""17.3"""" FHD"",1277.44"
"Lenovo,Legion 5 V43.7,AMD Ryzen 7 5800H,8 GB,2 TB SSD,NVIDIA GeForce GTX 1650,""16"""" QHD"",1166.06"
"HP,Victus 15 V39.1,AMD Ryzen 5 5600H,32 GB,512 GB SSD,AMD Radeon RX 7600M XT,""15.6"""" FHD"",830.0"
"Lenovo,Legion 5 V38.1,AMD Ryzen 7 5800H,32 GB,2 TB SSD,AMD Radeon RX 7600M XT,""14"""" FHD"",811.66"
"Lenovo,Legion 5 V14.9,AMD Ryzen 7 5800H,32 GB,256 GB SSD,NVIDIA GeForce RTX 3060,""17.3"""" FHD"",979.69"
"Lenovo,Legion 5 V40.4,AMD Ryzen 7 5800H,16 GB,2 TB SSD,AMD Radeon RX 6600M,""14"""" FHD"",686.81"
"ASUS,ROG Strix G15 V18.8,AMD Ryzen 7 6800H,64 GB,512 GB SSD,AMD Radeon RX 7600M XT,""14"""" FHD"",565.16"
"ASUS,ROG Strix G15 V4.6,AMD Ryzen 7 6800H,8 GB,2 TB SSD,NVIDIA GeForce RTX 3060,""14"""" FHD"",1340.59"
"ASUS,ROG Strix G15 V40.3,AMD Ryzen 7 6800H,8 GB,1 TB SSD,NVIDIA GeForce RTX 4050,""15.6"""" FHD"",1374.22"
"ASUS,ROG Strix G15 V46.0,AMD Ryzen 7 6800H,8 GB,2 TB SSD,NVIDIA GeForce GTX 1650,""16"""" QHD"",808.44"
"Acer,Nitro 5 V40.0,Intel Core i5-11400H,16 GB,256 GB SSD,NVIDIA GeForce RTX 3060,""17.3"""" FHD"",1320.56"
"HP,Victus 15 V48.8,AMD Ryzen 5 5600H,8 GB,2 TB SSD,NVIDIA GeForce GTX 1650,""16"""" QHD"",1000.78"
"MSI,Katana GF66 V26.9,Intel Core i7-11800H,32 GB,1 TB SSD,AMD Radeon RX 7600M XT,""14"""" FHD"",1236.75"
"Acer,Nitro 5 V23.4,Intel Core i5-11400H,8 GB,1 TB SSD,NVIDIA GeForce RTX 3050,""16"""" QHD"",871.41"
"MSI,Katana GF66 V41.8,Intel Core i7-11800H,16 GB,2 TB SSD,AMD Radeon RX 6600M,""14"""" FHD"",1079.03"
"MSI,Katana GF66 V5.3,Intel Core i7-11800H,32 GB,2 TB SSD,NVIDIA GeForce RTX 3050,""14"""" FHD"",829.22"
"ASUS,ROG Strix G15 V25.4,AMD Ryzen 7 6800H,8 GB,2 TB SSD,NVIDIA GeForce GTX 1650,""17.3"""" FHD"",751.88"
"Lenovo,Legion 5 V31.0,AMD Ryzen 7 5800H,16 GB,1 TB SSD,NVIDIA GeForce RTX 3060,""14"""" FHD"",1396.22"
"Acer,Nitro 5 V41.5,Intel Core i5-11400H,16 GB,512 GB SSD,NVIDIA GeForce RTX 4050,""15.6"""" FHD"",1321.28"
"ASUS,ROG Strix G15 V37.8,AMD Ryzen 7 6800H,64 GB,256 GB SSD,NVIDIA GeForce RTX 4050,""16"""" QHD"",697.25"
"HP,Victus 15 V36.1,AMD Ryzen 5 5600H,32 GB,256 GB SSD,AMD Radeon RX 6600M,""15.6"""" FHD"",980.5"
"HP,Victus 15 V44.3,AMD Ryzen 5 5600H,8 GB,256 GB SSD,NVIDIA GeForce RTX 3050,""14"""" FHD"",589.66"
"HP,Victus 15 V25.0,AMD Ryzen 5 5600H,16 GB,1 TB SSD,AMD Radeon RX 6600M,""15.6"""" FHD"",993.56"
"Lenovo,Legion 5 V19.9,AMD Ryzen 7 5800H,32 GB,2 TB SSD,AMD Radeon RX 7600M XT,""14"""" FHD"",750.31"
"MSI,Katana GF66 V8.1,Intel Core i7-11800H,8 GB,256 GB SSD,NVIDIA GeForce GTX 1650,""16"""" QHD"",854.5"
"Lenovo,Legion 5 V12.2,AMD Ryzen 7 5800H,8 GB,2 TB SSD,AMD Radeon RX 7600M XT,""17.3"""" FHD"",918.84"
"MSI,Katana GF66 V48.4,Intel Core i7-11800H,32 GB,256 GB SSD,NVIDIA GeForce GTX 1650,""16"""" QHD"",1140.81"
"MSI,Katana GF66 V21.7,Intel Core i7-11800H,64 GB,2 TB SSD,AMD Radeon RX 7600M XT,""16"""" QHD"",1022.31"
"Acer,Nitro 5 V25.8,Intel Core i5-11400H,32 GB,2 TB SSD,NVIDIA GeForce RTX 3050,""15.6"""" FHD"",1266.06"
"Acer,Nitro 5 V29.7,Intel Core i5-11400H,8 GB,256 GB SSD,NVIDIA GeForce RTX 4050,""14"""" FHD"",707.06"
"MSI,Katana GF66 V24.4,Intel Core i7-11800H,64 GB,512 GB SSD,NVIDIA GeForce GTX 1650,""16"""" QHD"",1121.03"
"MSI,Katana GF66 V40.3,Intel Core i7-11800H,64 GB,2 TB SSD,NVIDIA GeForce GTX 1650,""15.6"""" FHD"",888.81"
"Lenovo,Legion 5 V46.1,AMD Ryzen 7 5800H,8 GB,2 TB SSD,NVIDIA GeForce RTX 3060,""17.3"""" FHD"",671.72"
"ASUS,ROG Strix G15 V45.6,AMD Ryzen 7 6800H,8 GB,1 TB SSD,AMD Radeon RX 6600M,""17.3"""" FHD"",688.53"
"HP,Victus 15 V14.3,AMD Ryzen 5 5600H,64 GB,2 TB SSD,NVIDIA GeForce RTX 4050,""14"""" FHD"",1205.03"
"HP,Victus 15 V29.1,AMD Ryzen 5 5600H,32 GB,1 TB SSD,NVIDIA GeForce GTX 1650,""16"""" QHD"",607.44"
"MSI,Katana GF66 V43.7,Intel Core i7-11800H,64 GB,256 GB SSD,AMD Radeon RX 6600M,""14"""" FHD"",711.44"
"MSI,Katana GF66 V46.7,Intel Core i7-11800H,8 GB,1 TB SSD,NVIDIA GeForce RTX 4050,""14"""" FHD"",1229.59"
"Lenovo,Legion 5 V31.4,AMD Ryzen 7 5800H,8 GB,512 GB SSD,NVIDIA GeForce RTX 3050,""15.6"""" FHD"",1275.0"
"ASUS,ROG Strix G15 V25.6,AMD Ryzen 7 6800H,64 GB,2 TB SSD,NVIDIA GeForce GTX 1650,""17.3"""" FHD"",631.5"
"MSI,Katana GF66 V21.7,Intel Core i7-11800H,8 GB,512 GB SSD,NVIDIA GeForce RTX 4050,""14"""" FHD"",1210.16"
"MSI,Katana GF66 V24.1,Intel Core i7-11800H,16 GB,1 TB SSD,NVIDIA GeForce RTX 3060,""17.3"""" FHD"",1253.09"
"MSI,Katana GF66 V32.3,Intel Core i7-11800H,16 GB,1 TB SSD,NVIDIA GeForce GTX 1650,""17.3"""" FHD"",796.09"
"Acer,Nitro 5 V18.1,Intel Core i5-11400H,32 GB,256 GB SSD,NVIDIA GeForce RTX 3050,""17.3"""" FHD"",616.09"
"Lenovo,Legion 5 V16.2,AMD Ryzen 7 5800H,16 GB,2 TB SSD,NVIDIA GeForce RTX 3050,""15.6"""" FHD"",1097.72"
"Acer,Nitro 5 V14.6,Intel Core i5-11400H,16 GB,256 GB SSD,NVIDIA GeForce GTX 1650,""14"""" FHD"",1160.12"
"HP,Victus 15 V44.4,AMD Ryzen 5 5600H,64 GB,512 GB SSD,NVIDIA GeForce RTX 3060,""17.3"""" FHD"",594.41"
"Lenovo,Legion 5 V42.0,AMD Ryzen 7 5800H,8 GB,1 TB SSD,AMD Radeon RX 7600M XT,""14"""" FHD"",784.41"
"HP,Victus 15 V45.7,AMD Ryzen 5 5600H,16 GB,1 TB SSD,AMD Radeon RX 6600M,""17.3"""" FHD"",731.91"
"ASUS,ROG Strix G15 V25.2,AMD Ryzen 7 6800H,16 GB,512 GB SSD,AMD Radeon RX 7600M XT,""15.6"""" FHD"",1025.25"
"Acer,Nitro 5 V15.2,Intel Core i5-11400H,32 GB,1 TB SSD,NVIDIA GeForce RTX 4050,""16"""" QHD"",948.12"
"HP,Victus 15 V19.7,AMD Ryzen 5 5600H,64 GB,512 GB SSD,NVIDIA GeForce RTX 3050,""15.6"""" FHD"",1231.78"
"Lenovo,Legion 5 V5.7,AMD Ryzen 7 5800H,32 GB,256 GB SSD,NVIDIA GeForce GTX 1650,""16"""" QHD"",1230.53"
"HP,Victus 15 V25.4,AMD Ryzen 5 5600H,8 GB,1 TB SSD,NVIDIA GeForce RTX 3050,""15.6"""" FHD"",599.59"
"ASUS,ROG Strix G15 V33.5,AMD Ryzen 7 6800H,16 GB,1 TB SSD,NVIDIA GeForce GTX 1650,""15.6"""" FHD"",986.88"
"Lenovo,Legion 5 V43.2,AMD Ryzen 7 5800H,16 GB,1 TB SSD,AMD Radeon RX 7600M XT,""15.6"""" FHD"",1400.53"
"Acer,Nitro 5 V11.5,Intel Core i5-11400H,32 GB,256 GB SSD,NVIDIA GeForce RTX 4050,""14"""" FHD"",1007.41"
"Acer,Nitro 5 V12.3,Intel Core i5-11400H,16 GB,1 TB SSD,AMD Radeon RX 7600M XT,""15.6"""" FHD"",663.78"
"ASUS,ROG Strix G15 V20.2,AMD Ryzen 7 6800H,64 GB,512 GB SSD,NVIDIA GeForce RTX 3060,""17.3"""" FHD"",890.28"
"ASUS,ROG Strix G15 V4.6,AMD Ryzen 7 6800H,64 GB,512 GB SSD,NVIDIA GeForce GTX 1650,""15.6"""" FHD"",789.03"
"Lenovo,Legion 5 V5.6,AMD Ryzen 7 5800H,32 GB,256 GB SSD,AMD Radeon RX 7600M XT,""17.3"""" FHD"",1198.22"
"Lenovo,Legion 5 V17.0,AMD Ryzen 7 5800H,16 GB,512 GB SSD,AMD Radeon RX 6600M,""15.6"""" FHD"",1107.06"
"HP,Victus 15 V1.2,AMD Ryzen 5 5600H,32 GB,2 TB SSD,NVIDIA GeForce RTX 3060,""16"""" QHD"",1007.06"
"Acer,Nitro 5 V14.0,Intel Core i5-11400H,16 GB,2 TB SSD,NVIDIA GeForce RTX 4050,""17.3"""" FHD"",1103.44"
"ASUS,ROG Strix G15 V30.5,AMD Ryzen 7 6800H,64 GB,512 GB SSD,NVIDIA GeForce RTX 3060,""14"""" FHD"",792.97"
"ASUS,ROG Strix G15 V2.2,AMD Ryzen 7 6800H,16 GB,2 TB SSD,AMD Radeon RX 7600M XT,""15.6"""" FHD"",771.38"
"Lenovo,Legion 5 V12.4,AMD Ryzen 7 5800H,64 GB,2 TB SSD,AMD Radeon RX 7600M XT,""14"""" FHD"",1032.19"
"MSI,Katana GF66 V17.4,Intel Core i7-11800H,16 GB,512 GB SSD,AMD Radeon RX 6600M,""14"""" FHD"",1260.22"
"Acer,Nitro 5 V2.8,Intel Core i5-11400H,16 GB,1 TB SSD,NVIDIA GeForce GTX 1650,""17.3"""" FHD"",981.34"
